{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6264166533946991, 'training_loss': 0.6305072879791259}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.625060917115679, 'training_loss': 0.6501788783073426}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6250470099495906, 'training_loss': 0.6295315784215928}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6280341954792247, 'training_loss': 0.6305514585971832}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6242630803117565, 'training_loss': 0.6444665646553039}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6272394475983638, 'training_loss': 0.6405098813772201}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6250741008450004, 'training_loss': 0.6261477774381639}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240122388390934, 'training_loss': 0.639459155201912}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6254518435281866, 'training_loss': 0.638567209839821}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.624010908837412, 'training_loss': 0.643510650396347}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6244587360643873, 'training_loss': 0.6350099283456803}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6254491303481308, 'training_loss': 0.6381690949201584}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6253623261171228, 'training_loss': 0.6403801596164704}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239535633255454, 'training_loss': 0.6394433826208115}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6266730380993263, 'training_loss': 0.6269980508089066}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6244342134279364, 'training_loss': 0.6415353566408157}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.624240404250575, 'training_loss': 0.6258448261022568}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6253043892336827, 'training_loss': 0.63685162961483}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6241916716098785, 'training_loss': 0.6312282681465149}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6245484439765706, 'training_loss': 0.6305299896001817}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6244296735408259, 'training_loss': 0.6430981361865997}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6243582730199776, 'training_loss': 0.6426076799631119}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6248551595444772, 'training_loss': 0.6324780237674713}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6242761740497514, 'training_loss': 0.6408389723300935}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6241821553192887, 'training_loss': 0.6318757599592209}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6254042673344705, 'training_loss': 0.633362699151039}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239959556682437, 'training_loss': 0.6416334050893784}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6247661031928717, 'training_loss': 0.6326695704460145}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6255809051149032, 'training_loss': 0.6302289843559266}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240934402334923, 'training_loss': 0.635431545972824}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6242602531816445, 'training_loss': 0.6365364986658096}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.624580803455091, 'training_loss': 0.6347167629003525}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239676230094012, 'training_loss': 0.6349425423145294}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6253686114853504, 'training_loss': 0.6398374474048614}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6257451597382041, 'training_loss': 0.6399851042032242}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240581963576523, 'training_loss': 0.6353429234027862}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.623956024646759, 'training_loss': 0.6458916306495667}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239554893736746, 'training_loss': 0.6342776489257812}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6241645655211281, 'training_loss': 0.6340063375234604}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239736833993126, 'training_loss': 0.6348915654420852}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6244387579899208, 'training_loss': 0.6284863728284835}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6241153759114882, 'training_loss': 0.6376462459564209}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6244746300519681, 'training_loss': 0.6373354828357697}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6241227610438478, 'training_loss': 0.6308322137594223}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6245918899190193, 'training_loss': 0.6239290928840637}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6250042179051567, 'training_loss': 0.6354426914453506}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239536112430049, 'training_loss': 0.630629596710205}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6257460269273496, 'training_loss': 0.6368893456459045}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.625711645565781, 'training_loss': 0.6390507078170776}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6243115949864481, 'training_loss': 0.6407251542806626}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240376958660051, 'training_loss': 0.645942189693451}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6245097161508074, 'training_loss': 0.6349940574169158}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239781666035745, 'training_loss': 0.640868312716484}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240750808341831, 'training_loss': 0.6327055311203003}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239893839639776, 'training_loss': 0.6378321647644044}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.624066055989733, 'training_loss': 0.6254564672708511}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.624225923243691, 'training_loss': 0.6368244296312332}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6249671221948138, 'training_loss': 0.6447239881753922}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6248274556562012, 'training_loss': 0.6313101762533189}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240005686002619, 'training_loss': 0.6334508228302003}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6244709573540033, 'training_loss': 0.6334052884578705}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239547215256036, 'training_loss': 0.6352359503507614}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6249566148309147, 'training_loss': 0.6382210350036621}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6244241495927175, 'training_loss': 0.6368729150295257}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239974919487449, 'training_loss': 0.6342899656295777}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.624100464816187, 'training_loss': 0.6359170430898666}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6242601100136252, 'training_loss': 0.6416923719644546}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6283296370038799, 'training_loss': 0.6455022978782654}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239576795521904, 'training_loss': 0.634830538034439}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.62742914054908, 'training_loss': 0.6325704902410507}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6262041377086266, 'training_loss': 0.6259478604793548}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6267383595307668, 'training_loss': 0.6461143535375596}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6269234091627831, 'training_loss': 0.6305843865871429}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6245586942223942, 'training_loss': 0.6321829557418823}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6269994617677203, 'training_loss': 0.6371852153539658}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6249421075278637, 'training_loss': 0.6316988372802734}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6241592460987615, 'training_loss': 0.628975915312767}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6248714029788971, 'training_loss': 0.6269098031520843}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6241540014743805, 'training_loss': 0.6273576635122299}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6242703000704447, 'training_loss': 0.64865229845047}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6242760630214915, 'training_loss': 0.6413376462459565}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239797899536058, 'training_loss': 0.6300340151786804}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6239646246620253, 'training_loss': 0.6349417805671692}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6240692343197617, 'training_loss': 0.6399924319982528}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.624088023223129, 'training_loss': 0.6273151981830598}
{'accuracy': 0.6838235294117647, 'f1': 0.8122270742358079, 'testing_loss': 0.6242349200388965, 'training_loss': 0.6332224887609481}
